"","011016AC95","011016B1E9","011016B914","011016B9B5","011016BC8D","011016BDEC","011016BF63","011016CC59","011016CE84","011016D383","011016E2E6","011016EDC4","011016FD8E","011016FE79","01101706AD","0110170897","0110170BCF","0110170F15","01101712F8","0110171671","011017171D","0110172507","0110172D57","0110173043","0110173577","01101736BA","011017396E","0110173C26","0110173E3A","0110173FFA","01101747D3","01101748C7","0110174B57","0110175F3E","01103F6EC0","0700EDA0C9","0700EDE823","0700EDFFDB","0700EE08C5","0700EE1540","0700EE1ECE","0700EE257D","0700EE27B1","0700EE315A"
"011016AC95",NA,0.734610427672839,0.776766666905405,0.731579837244668,0.747999210630785,0.77879395577851,0.792022576874563,0.681937731819714,0.817920930314353,0.754447233950024,0.674789303949961,0.710467695842806,0.735227854582693,0.806926713236283,0.749092600498416,0.647220604957048,0.760985600639417,0.809983771164744,0.678701611365954,0.767275152121364,0.717273334922543,0.576240680379154,0.805462348581057,0.754472604354587,0.766779978511773,0.777358601982422,0.734807533676367,0.778587297711528,0.802911966714776,0.8331482456469,0.713273386276033,0.730555267924318,0.719652446682098,0.703188393161334,0.666578389460996,0.65357378199116,0.659225677157829,0.713411735006093,0.666930588072427,0.767465493811663,0.683368324551995,0.752511305249594,0.805772912597002,0.694510741324825
"011016B1E9",0.734610427672839,NA,0.913649228349578,0.838063097373116,0.954517005289829,0.826408282429349,0.733596114030897,0.641417469319171,0.726431481414022,0.692820676894426,0.777209162796487,0.689861431382614,0.768236848334517,0.808878220113805,0.771402105224376,0.747826540961505,0.665817452684431,0.755075527909625,0.758330445303053,0.672569652851982,0.70479563644565,0.655869115131875,0.728283567843408,0.825332599557552,0.750230216207502,0.749428413033092,0.830114840463756,0.803193279136829,0.764082797384712,0.754704814967475,0.69316130194288,0.669718014379329,0.697666566360446,0.83057908339033,0.845735005168223,0.621030376723958,0.700246955745121,0.789142659230689,0.811116798361902,0.759963953898905,0.744631341065914,0.784400725642699,0.711609509604293,0.739297255694269
"011016B914",0.776766666905405,0.913649228349578,NA,0.850742272029401,0.922627855517628,0.864172950392672,0.729917325523761,0.67045285847266,0.767697171863572,0.730747766511937,0.796805298661734,0.731461174384878,0.791688272612365,0.872786478441339,0.779979936621073,0.730546950610466,0.70750096023676,0.798738489978631,0.768775301339478,0.701979671881978,0.742073508763749,0.627622432572928,0.764652301247555,0.842875716143043,0.763598965862049,0.771959548289994,0.793716925240671,0.84113665250572,0.802968700731405,0.802431096782321,0.729208955806616,0.706919529844496,0.746401717549614,0.782743949140729,0.790220255447296,0.6497625763233,0.696716367176472,0.806309119540051,0.764092228332801,0.781893976601111,0.728117907435839,0.7999406605251,0.759480158615389,0.753107649084852
"011016B9B5",0.731579837244668,0.838063097373116,0.850742272029401,NA,0.854375930974397,0.842247367799151,0.734098366910867,0.70497557997558,0.78201189883619,0.732536933133786,0.852912314023425,0.700311365017247,0.822106905440239,0.794568742219749,0.760337042412514,0.739438339438339,0.746365914786967,0.784003849258087,0.786364725617062,0.711498099537967,0.785910518053375,0.636813186813187,0.757558629110353,0.868611018611019,0.788307782752227,0.762984584859585,0.83565116615964,0.800752599890531,0.799546003413407,0.775427671743461,0.717854176945086,0.696120302035416,0.725843821156321,0.754447525475563,0.758345753862995,0.674274382117519,0.758093801623213,0.774364398667534,0.747282622814538,0.822453870117421,0.704216976439199,0.779246686736565,0.733703497627548,0.724013480035889
"011016BC8D",0.747999210630785,0.954517005289829,0.922627855517628,0.854375930974397,NA,0.833407607032872,0.738111398405516,0.648815816181545,0.729307090204662,0.694267304694885,0.774349421733267,0.699424689578142,0.766881734980627,0.821057186613581,0.791311966194946,0.745764487406624,0.669130876352575,0.76426280165714,0.769521705044215,0.680288745090217,0.704744539956451,0.652253075143101,0.721500751724978,0.815241822684278,0.748394963088667,0.759529401225373,0.841530068180551,0.81207505490952,0.761242601957725,0.754794723381343,0.694752948717143,0.667594376867822,0.704264722683041,0.828252418399298,0.837151928237562,0.623253004905666,0.693976779117444,0.806281766860155,0.79130578739873,0.767024764666804,0.743295203212794,0.779811472339196,0.721818189759852,0.741240779725739
"011016BDEC",0.77879395577851,0.826408282429349,0.864172950392672,0.842247367799151,0.833407607032872,NA,0.745309270643524,0.674384213221225,0.804783260811566,0.75079048358064,0.781019310771952,0.709499834899316,0.784297706632172,0.81929115400703,0.724117361462398,0.713986800341992,0.730090234546941,0.825007273971333,0.82814475138706,0.737443490840487,0.764231468130328,0.594995688145094,0.775398474867183,0.884271888584283,0.787409753305676,0.777575277368359,0.749952667800356,0.779980703520016,0.832137652005112,0.836516425472283,0.761023083526556,0.720078374504814,0.751409814267943,0.753120585354452,0.712102907435441,0.650146595769667,0.749780404521741,0.747118407179013,0.725631569199824,0.795308515485276,0.703765711570843,0.808156880557952,0.760304659498208,0.714061003260639
"011016BF63",0.792022576874563,0.733596114030897,0.729917325523761,0.734098366910867,0.738111398405516,0.745309270643524,NA,0.661812423687424,0.783160558849645,0.739838217545251,0.690550736557681,0.667924792924793,0.694439568918735,0.765143925798288,0.692300133043058,0.648084374352063,0.734301867114367,0.795748613439291,0.704901407004211,0.758628930477975,0.715107437205651,0.656837225274726,0.766575288935203,0.761244935619936,0.736934449112029,0.763524496336996,0.763087768516794,0.725891080901857,0.787730877164579,0.792051462791594,0.711978893086848,0.687017013718149,0.703921641421642,0.733395328386567,0.667377439370974,0.699586975103432,0.691302565898154,0.699125602789584,0.717216712562457,0.765058468271085,0.676417718084385,0.732174254979164,0.736206308635106,0.692669553576416
"011016CC59",0.681937731819714,0.641417469319171,0.67045285847266,0.70497557997558,0.648815816181545,0.674384213221225,0.661812423687424,NA,0.725393902043977,0.770465683108114,0.688325984714874,0.83241653418124,0.635555555555556,0.700209428900704,0.664824682654871,0.714413343469947,0.662464494569758,0.682869249394673,0.663705603572795,0.647264936982545,0.679850863422292,0.632539682539683,0.740751231527094,0.683994708994709,0.662401076289965,0.616104242979243,0.698466505246166,0.707118226600985,0.68166251796086,0.663262322472849,0.803213727304636,0.77207955712853,0.809275391462892,0.592469218216882,0.586204159824849,0.777096986942925,0.640102707749766,0.723938111830098,0.574822695035461,0.711820204717401,0.565734861845973,0.622008275125684,0.67982318665863,0.752697301142679
"011016CE84",0.817920930314353,0.726431481414022,0.767697171863572,0.78201189883619,0.729307090204662,0.804783260811566,0.783160558849645,0.725393902043977,NA,0.855748651775997,0.736831542743135,0.758369433720062,0.746962368635672,0.798013528881502,0.713079706528996,0.691854671808089,0.776488307489591,0.827036152755163,0.717796063685821,0.808851217876881,0.778195829390454,0.600891464599777,0.814316946891696,0.805386793579924,0.825477084229366,0.802598887652086,0.728529878259696,0.801521601071042,0.84865590658858,0.853941361617084,0.810823848178479,0.75565145260277,0.796490007015299,0.656293868291398,0.630861819676807,0.7377069811019,0.738389743818549,0.707823721823224,0.662969104413456,0.838333053107921,0.700030491828512,0.775122074347422,0.772405839384814,0.759845375755154
"011016D383",0.754447233950024,0.692820676894426,0.730747766511937,0.732536933133786,0.694267304694885,0.75079048358064,0.739838217545251,0.770465683108114,0.855748651775997,NA,0.708377163875069,0.807097408921481,0.695120849087208,0.782479672340455,0.681986638824854,0.713124166857825,0.732295228334295,0.760009355615727,0.697977178711303,0.738193231420275,0.770074415675532,0.572115081518229,0.801117562391581,0.768041109229389,0.774334777413781,0.74221413590479,0.725332355000729,0.79781441249765,0.766446409661142,0.789730770224531,0.864410363300512,0.801961932593477,0.852630363800162,0.627473787320213,0.596543705513339,0.833342619417494,0.747845417059933,0.707518317597939,0.630439717655866,0.804181335247101,0.659622040974908,0.727127172533909,0.750366449640129,0.753901769706898
"011016E2E6",0.674789303949961,0.777209162796487,0.796805298661734,0.852912314023425,0.774349421733267,0.781019310771952,0.690550736557681,0.688325984714874,0.736831542743135,0.708377163875069,NA,0.706309484087262,0.772300852439741,0.728137568648381,0.729961042723097,0.714153540476916,0.728509738853306,0.741917640669995,0.784018410367675,0.661264089327951,0.803935548578406,0.652967372134039,0.741879143100408,0.810776882582438,0.759967472269059,0.728608595622484,0.766873486682809,0.757110168460743,0.773528680411738,0.729712591664346,0.710820558358437,0.672379261366042,0.717759798488965,0.719759576554748,0.707647225769831,0.643206510999462,0.78434770204378,0.786215182399368,0.724005434850589,0.74283592114589,0.681970164609053,0.754868116443127,0.701298286934715,0.712118952519279
"011016EDC4",0.710467695842806,0.689861431382614,0.731461174384878,0.700311365017247,0.699424689578142,0.709499834899316,0.667924792924793,0.83241653418124,0.758369433720062,0.807097408921481,0.706309484087262,NA,0.683269053367092,0.758280029302532,0.723680312748015,0.737438130889851,0.659542204743443,0.702289399497774,0.67765384914773,0.651164132109999,0.706197149684545,0.593853180912004,0.773410218389934,0.692024614377556,0.697412205815567,0.669537044720868,0.712558378061868,0.779586236482788,0.721036038878093,0.721861370437222,0.834925921824317,0.778017658704291,0.846331691460368,0.619444986885888,0.610766266121236,0.741047770459535,0.650844121432357,0.792355955785962,0.596209699776658,0.719397682454307,0.615304380010262,0.671627517066907,0.733104075248528,0.769381125823703
"011016FD8E",0.735227854582693,0.768236848334517,0.791688272612365,0.822106905440239,0.766881734980627,0.784297706632172,0.694439568918735,0.635555555555556,0.746962368635672,0.695120849087208,0.772300852439741,0.683269053367092,NA,0.750954188739424,0.74018125596742,0.649455195398592,0.726938642903555,0.782116551579829,0.760780130492378,0.699755049306544,0.728269860650813,0.583174603174603,0.757576780392872,0.768077601410935,0.775938523557571,0.759948531406865,0.740325830269333,0.748020434227331,0.78525852021248,0.77899099600854,0.660418761933913,0.700941559134376,0.691766871037705,0.741160889416341,0.755769324332543,0.618248484579017,0.679590206452952,0.740159406129209,0.733415700401516,0.748227348398688,0.710229276895944,0.772586841858097,0.782249235371599,0.642120848339336
"011016FE79",0.806926713236283,0.808878220113805,0.872786478441339,0.794568742219749,0.821057186613581,0.81929115400703,0.765143925798288,0.700209428900704,0.798013528881502,0.782479672340455,0.728137568648381,0.758280029302532,0.750954188739424,NA,0.729690416375233,0.701452529995015,0.75986604026166,0.80015746459837,0.71464867142396,0.730008554921039,0.760862824189766,0.598878526395305,0.819553562871082,0.809405657727805,0.77298635181878,0.779402488358025,0.757537121872806,0.817512939758948,0.796008419298122,0.822369422641411,0.756671314786019,0.751693241279408,0.760067116138844,0.729045920626865,0.702022148953415,0.703508809575397,0.6790505586005,0.775545724026303,0.716571222104565,0.7870628127857,0.697470425285489,0.762751445766417,0.788626253064279,0.740312175759509
"01101706AD",0.749092600498416,0.771402105224376,0.779979936621073,0.760337042412514,0.791311966194946,0.724117361462398,0.692300133043058,0.664824682654871,0.713079706528996,0.681986638824854,0.729961042723097,0.723680312748015,0.74018125596742,0.729690416375233,NA,0.706838758725551,0.671909939337943,0.748573728442612,0.660038446767326,0.717230816224736,0.668521617645607,0.63581311769991,0.736444413859834,0.709087257955182,0.721972037036428,0.711428528232773,0.79741712556711,0.7947391688771,0.723710894199792,0.727752945498725,0.68939757876293,0.701488296741059,0.690745828570121,0.756364638418068,0.749654910259985,0.633242207273707,0.653661214848784,0.795995056193268,0.730233480333842,0.725817199904663,0.718618732769676,0.710321074540767,0.771647196844235,0.742668313898693
"0110170897",0.647220604957048,0.747826540961505,0.730546950610466,0.739438339438339,0.745764487406624,0.713986800341992,0.648084374352063,0.714413343469947,0.691854671808089,0.713124166857825,0.714153540476916,0.737438130889851,0.649455195398592,0.701452529995015,0.706838758725551,NA,0.637961538259453,0.65783459513872,0.681635385344932,0.618463102886096,0.693575180435018,0.656747529200359,0.670179527694167,0.7520425626086,0.686892721933153,0.643158865505564,0.762278588589749,0.754692314841957,0.698905146418958,0.646076002779081,0.754889351373056,0.670470425417503,0.782474625192786,0.703151533119793,0.682086553654543,0.681462328521152,0.6888958273198,0.736989134686524,0.718054062594408,0.73970387652278,0.687858845091549,0.655249265286696,0.634344195199223,0.772140609186748
"0110170BCF",0.760985600639417,0.665817452684431,0.70750096023676,0.746365914786967,0.669130876352575,0.730090234546941,0.734301867114367,0.662464494569758,0.776488307489591,0.732295228334295,0.728509738853306,0.659542204743443,0.726938642903555,0.75986604026166,0.671909939337943,0.637961538259453,NA,0.781410683016392,0.693068600889555,0.728137804829534,0.806209816360193,0.593962684489001,0.781002074150894,0.761255664413559,0.825511139128516,0.812299512135038,0.680848071213816,0.723896907018504,0.777195526948362,0.798576998050682,0.696773026677333,0.676744183185916,0.704874199857752,0.650104948248086,0.627435638905693,0.697882271817109,0.700779727095517,0.682381063964596,0.676498278793912,0.737473226159896,0.720146044122652,0.766708684927308,0.755496335776149,0.676116177465138
"0110170F15",0.809983771164744,0.755075527909625,0.798738489978631,0.784003849258087,0.76426280165714,0.825007273971333,0.795748613439291,0.682869249394673,0.827036152755163,0.760009355615727,0.741917640669995,0.702289399497774,0.782116551579829,0.80015746459837,0.748573728442612,0.65783459513872,0.781410683016392,NA,0.775955723036934,0.799555333892853,0.734568229725615,0.61649448479957,0.820076326848682,0.794902617783974,0.817405481354903,0.801137510088781,0.737321764864138,0.749005037432858,0.874893549708607,0.850702462370616,0.727673535300654,0.730837890302985,0.743057657384988,0.719126757836563,0.684994387390647,0.66911843205581,0.713635917643894,0.735150884110017,0.721962632871396,0.800091521903656,0.722427983539095,0.802058869635896,0.824852116345358,0.708269384338795
"01101712F8",0.678701611365954,0.758330445303053,0.768775301339478,0.786364725617062,0.769521705044215,0.82814475138706,0.704901407004211,0.663705603572795,0.717796063685821,0.697977178711303,0.784018410367675,0.67765384914773,0.760780130492378,0.71464867142396,0.660038446767326,0.681635385344932,0.693068600889555,0.775955723036934,NA,0.676421274878132,0.74271891472545,0.575296652847071,0.717620216751999,0.781558313796386,0.728728513587858,0.690144118158444,0.713381396227778,0.697826260785706,0.749455709554684,0.758740308715714,0.708333408541341,0.676160783760319,0.704376518870954,0.752573606914482,0.741814970878695,0.619399012087027,0.697508697527215,0.729988515227413,0.732695603594391,0.696935485130271,0.657349789611909,0.742657487975131,0.710776359250585,0.680614894114903
"0110171671",0.767275152121364,0.672569652851982,0.701979671881978,0.711498099537967,0.680288745090217,0.737443490840487,0.758628930477975,0.647264936982545,0.808851217876881,0.738193231420275,0.661264089327951,0.651164132109999,0.699755049306544,0.730008554921039,0.717230816224736,0.618463102886096,0.728137804829534,0.799555333892853,0.676421274878132,NA,0.731581947030452,0.60031956968834,0.76243778719721,0.736284343194642,0.744673876087682,0.780414580113501,0.677611932961333,0.728531150498157,0.773286019059775,0.816534608947618,0.72940138320688,0.682852968879255,0.713502817453191,0.63269328958853,0.599541502781278,0.688262902060049,0.70562227991972,0.654251121889482,0.619188150272479,0.760361224834786,0.663340501288083,0.755702383797667,0.741177990183415,0.646064368900015
"011017171D",0.717273334922543,0.70479563644565,0.742073508763749,0.785910518053375,0.704744539956451,0.764231468130328,0.715107437205651,0.679850863422292,0.778195829390454,0.770074415675532,0.803935548578406,0.706197149684545,0.728269860650813,0.760862824189766,0.668521617645607,0.693575180435018,0.806209816360193,0.734568229725615,0.74271891472545,0.731581947030452,NA,0.605620094191523,0.763166062180841,0.797414384557242,0.80429094714809,0.79024561747776,0.703563224507534,0.768578465869106,0.765888675912354,0.770852956567242,0.769803228244787,0.709498220555451,0.746070705222491,0.652890545146887,0.629602302459445,0.709167399153393,0.814767445439715,0.746990146903039,0.67541949494837,0.749622084635436,0.683488381107429,0.737855963521088,0.73629139094781,0.733320707200259
