Date,nightlows,index
1/20/19,-13.27777778,1
1/21/19,-10.61111111,2
1/22/19,-8.277777778,3
1/23/19,-12.22222222,4
1/24/19,-19.38888889,5
1/25/19,-21.11111111,6
1/26/19,-6.722222222,7
1/27/19,-6.722222222,8
1/28/19,-10.61111111,9
1/29/19,-18.88888889,10
1/30/19,-22.22222222,11
1/31/19,-17.77777778,12
2/1/19,-11.72222222,13
2/2/19,1.111111111,14
2/3/19,-1.111111111,15
2/4/19,-12.22222222,16
2/5/19,-13.27777778,17
2/6/19,-13.27777778,18
2/7/19,-15.61111111,19
2/8/19,-17.77777778,20
2/9/19,-12.22222222,21
2/10/19,-3.277777778,22
2/11/19,-3.277777778,23
2/12/19,-8.277777778,24
2/13/19,-9.388888889,25
2/14/19,-11.72222222,26
2/15/19,-13.27777778,27
2/16/19,-16.72222222,28
2/17/19,-10,29
2/18/19,-13.27777778,30
2/19/19,-16.11111111,31
2/20/19,-9.388888889,32
2/21/19,-18.88888889,33
2/22/19,-6.722222222,34
2/23/19,-5,35
2/24/19,-17.77777778,36
2/25/19,-21.72222222,37
2/26/19,-16.11111111,38
2/27/19,-15.61111111,39
2/28/19,-13.88888889,40
3/1/19,-12.77777778,41
3/2/19,-13.27777778,42
3/3/19,-21.11111111,43
3/4/19,-22.22222222,44
3/5/19,-13.27777778,45
3/6/19,-17.22222222,46
3/7/19,-3.888888889,47
3/8/19,-11.72222222,48
3/9/19,-1.111111111,49
3/10/19,-4.388888889,50
3/11/19,-6.111111111,51
3/12/19,2.222222222,52
3/13/19,3.888888889,53
3/14/19,1.722222222,54
3/15/19,-3.277777778,55
3/16/19,-5,56
3/17/19,-5,57